Configuration,Model,Use_Cluster,Use_SMOTE,CV_ROC_AUC_mean,CV_ROC_AUC_std,Test_ROC_AUC,Test_PR_AUC,Test_Balanced_Acc,Test_MCC
Baseline_NoSMOTE,Logistic Regression,False,False,0.8573101028531298,0.011455802275984176,0.8479526725051021,0.6646995691573307,0.759231703221473,0.4663199776728244
Baseline_NoSMOTE,Random Forest,False,False,0.8481703840956086,0.00986416625789678,0.8397284869151878,0.6313305199652743,0.6894003978402956,0.4243860327477302
Baseline_NoSMOTE,Gradient Boosting,False,False,0.8608278869190149,0.011324661760001862,0.8521881216254619,0.6739427366420079,0.7255302384458395,0.47914096684240964
Baseline_NoSMOTE,CatBoost,False,False,0.8594073032698647,0.008928926703037387,0.8477550440466041,0.6539351754419523,0.7075550905474179,0.44507674654476387
Baseline_NoSMOTE,XGBoost,False,False,0.8405658434278405,0.010044903587498509,0.831226588131959,0.6278737138612749,0.7045777467772353,0.4266057161766727
Baseline_NoSMOTE,LightGBM,False,False,0.8541966495166962,0.009821049416895211,0.8441693146296727,0.6557370780967896,0.7585806918287736,0.4779213710964735
Baseline_NoSMOTE,SVM,False,False,0.8453698674611259,0.010768788931661315,0.8311503784649564,0.5797890055405845,0.7548838771345165,0.4573904307633074
Baseline_SMOTE,Logistic Regression,False,True,0.8636193500203169,0.002614897189153546,0.8468728202743547,0.6621115188332306,0.7534010178511457,0.4562177317323091
Baseline_SMOTE,Random Forest,False,True,0.9277142195761654,0.006661701397049162,0.8365741817148467,0.6156860276769541,0.7352359916298535,0.45385823717247864
Baseline_SMOTE,Gradient Boosting,False,True,0.9191958450138579,0.0032396949484004853,0.8499405822935234,0.6608188208024588,0.7601423441576894,0.4823821460830173
Baseline_SMOTE,CatBoost,False,True,0.9341126962450155,0.003867944308093924,0.8454532537652742,0.6530226369779203,0.7449314112996976,0.4741973984529755
Baseline_SMOTE,XGBoost,False,True,0.9296351286087363,0.004246408892530622,0.8291237179983982,0.6298146041157178,0.7291805523263324,0.440688964158388
Baseline_SMOTE,LightGBM,False,True,0.932273454406962,0.0022369278257432404,0.8436435970962826,0.6497833053674138,0.7512787723785166,0.4809754573844809
Baseline_SMOTE,SVM,False,True,0.8816253696122456,0.005764698537035698,0.8228771086827353,0.5646232151784567,0.7525472112428634,0.4549425378205806
Enhanced_NoSMOTE,Logistic Regression,True,False,0.8577742107527264,0.012560118423375026,0.8502777131933141,0.674394939468568,0.7615683691131261,0.46879142309171606
Enhanced_NoSMOTE,Random Forest,True,False,0.843734297680451,0.01010995028981347,0.8358185434911778,0.6332401884118175,0.6976801260688729,0.43517461099751753
Enhanced_NoSMOTE,Gradient Boosting,True,False,0.8588941321695508,0.011200907174709198,0.8509971841173888,0.6689491815712755,0.7163967036089798,0.46797370481209594
Enhanced_NoSMOTE,CatBoost,True,False,0.8567515321865204,0.011238891126173038,0.8504624247590999,0.6581201294828444,0.7188121625461779,0.47614751545864414
Enhanced_NoSMOTE,XGBoost,True,False,0.8380157287088528,0.013229367335293316,0.8388268878038698,0.639967039350154,0.7061393991061511,0.43309264024832933
Enhanced_NoSMOTE,LightGBM,True,False,0.8503634075275717,0.010199053615646119,0.8496383270040558,0.6626329528240903,0.765669482549278,0.4862113461263929
Enhanced_NoSMOTE,SVM,True,False,0.8454674136202331,0.01096999321593898,0.8303366142240822,0.5678266720565753,0.7552881758764112,0.45614787153745184
Enhanced_SMOTE,Logistic Regression,True,True,0.8637008321988272,0.0031043837294205436,0.8493321966467746,0.672872636878323,0.7620514609005657,0.46977419714833274
Enhanced_SMOTE,Random Forest,True,True,0.9227054198338797,0.007135614039118534,0.8372445684466145,0.6229796235207056,0.7391343098504224,0.45922071935429404
Enhanced_SMOTE,Gradient Boosting,True,True,0.899418951672563,0.0034253827204241555,0.848313053811775,0.6653764845308328,0.7570862073419619,0.46799379404169783
Enhanced_SMOTE,CatBoost,True,True,0.9221591728587238,0.003336878783658901,0.8420289855072464,0.6486427369518863,0.7473352450334547,0.4658112325928366
Enhanced_SMOTE,XGBoost,True,True,0.9154517256303688,0.005805305326574212,0.8351959492624454,0.6326007285631285,0.7475599989666486,0.46837235933613364
Enhanced_SMOTE,LightGBM,True,True,0.9188965413202792,0.002903437585339487,0.8436203466894003,0.6540835352026358,0.756951871657754,0.4802780966572048
Enhanced_SMOTE,SVM,True,True,0.8744281167553233,0.006129900372027888,0.8218605492262782,0.561609091770271,0.7513562737347903,0.45153556055151045
